raw_date
17 Mar. 1715-26 June 1716
20 Feb. 1717-15 July 1717
21 Nov. 1717-21 Mar. 1718
11 Nov. 1718-18 Apr. 1719
23 Nov. 1719-11 June 1720
8 Dec. 1720-29 July 1721
31 July 1721-10 Aug. 1721
19 Oct. 1721-7 Mar. 1722
9 Oct. 1722-27 May 1723
9 Jan. 1724-24 Apr. 1724
12 Nov. 1724-31 May 1725
20 Jan. 1726-24 May 1726
17 Jan. 1727-15 May 1727
27 June 1727-17 July 1727
23 Jan. 1728-28 May 1728
21 Jan. 1729-14 May 1729
13 Jan. 1730-15 May 1730
21 Jan. 1731-7 May 1731
13 Jan. 1732-1 June 1732
16 Jan. 1733-13 June 1733
17 Jan. 1734-16 Apr. 1734
14 Jan. 1735-15 May 1735
15 Jan. 1736-20 May 1736
1 Feb. 1737-21 June 1737
24 Jan. 1738-20 May 1738
1 Feb. 1739-14 June 1739
15 Nov. 1739-29 Apr. 1740
18 Nov. 1740-25 Apr. 1741
1 Dec. 1741-15 July 1742
16 Nov. 1742-21 Apr. 1743
1 Dec. 1743-12 May 1744
27 Nov. 1744-2 May 1745
17 Oct. 1745-12 Aug. 1746
18 Nov. 1746-17 June 1747
10 Nov. 1747-13 May 1748
29 Nov. 1748-13 June 1749
16 Nov. 1749-12 Apr. 1750
17 Jan. 1751-25 June 1751
14 Nov. 1751-26 Mar. 1752
11 Jan. 1753-7 June 1753
15 Nov. 1753-6 Apr. 1754
31 May 1754-5 June 1754
14 Nov. 1754-25 Apr. 1755
13 Nov. 1755-27 May 1756
2 Dec. 1756-4 July 1757
1 Dec. 1757-20 June 1758
23 Nov. 1758-2 June 1759
13 Nov. 1759-22 May 1760
26 Oct. 1760-29 Oct. 1760
18 Nov. 1760-19 Mar. 1761
19 May 1761-
3 Nov. 1761-2 June 1762
25 Nov. 1762-19 Apr. 1763
15 Nov. 1763-19 Apr. 1764
10 Jan. 1765-25 May 1765
17 Dec. 1765-6 June 1766
11 Nov. 1766-2 June 1767
24 Nov. 1767-10 Mar. 1768
10 May 1768-21 June 1768
8 Nov. 1768-9 May 1769
9 Jan. 1770-19 May 1770
13 Nov. 1770-8 May 1771
21 Jan. 1772-9 June 1772
26 Nov. 1772-1 July 1773
13 Jan. 1774-22 June 1774
29 Nov. 1774-26 May 1775
26 Oct. 1775-23 May 1776
31 Oct. 1776-6 June 1777
20 Nov. 1777-3 June 1778
26 Nov. 1778-3 July 1779
25 Nov. 1779-8 July 1780
31 Oct. 1780-16 July 1781
27 Nov. 1781-11 July 1782
5 Dec. 1782-16 July 1783
11 Nov. 1783-24 Mar. 1784
18 May 1784-20 Aug. 1784
25 Jan. 1785-2 Aug. 1785
24 Jan. 1786-11 July 1786
23 Jan. 1787-30 May 1787
15 Nov. 1787-11 July 1788
20 Nov. 1788-11 Aug. 1789
21 Jan. 1790-10 June 1790
25 Nov. 1790-10 June 1791
31 Jan. 1792-15 June 1792
13 Dec. 1792-21 June 1793
21 Jan. 1794-11 July 1794
30 Dec. 1794-27 June 1795
29 Oct. 1795-19 May 1796
27 Sep. 1796-20 July 1797
2 Nov. 1797-29 June 1798
20 Nov. 1798-12 July 1799
24 Sep. 1799-29 July 1800
11 Nov. 1800-31 Dec. 1800
22 Jan. 1801-2 July 1801
29 Oct. 1801-28 June 1802
16 Nov. 1802-12 Aug. 1803
22 Nov. 1803-31 July 1804
15 Jan. 1805-12 July 1805
21 Jan. 1806-23 July 1806
15 Dec. 1806-27 Apr. 1807
22 June 1807-14 Aug. 1807
21 Jan. 1808-4 July 1808
19 Jan. 1809-21 June 1809
23 Jan. 1810-21 June 1810
1 Nov. 1810-24 July 1811
7 Jan. 1812-30 July 1812
24 Nov. 1812-22 July 1813
4 Nov. 1813-30 July 1814
8 Nov. 1814-12 July 1815
1 Feb. 1816-2 July 1816
28 Jan. 1817-12 July 1817
27 Jan. 1818-10 June 1818
14 Jan. 1819-13 July 1819
23 Nov. 1819-28 Feb. 1820
21 Apr. 1820-23 Nov. 1820
23 Jan. 1821-11 July 1821
5 Feb. 1822-6 Aug. 1822
4 Feb. 1823-19 July 1823
3 Feb. 1824-25 June 1824
3 Feb. 1825-6 July 1825
2 Feb. 1826-31 May 1826
14 Nov. 1826-2 July 1827
29 Jan. 1828-28 July 1828
5 Feb. 1829-24 June 1829
4 Feb. 1830-23 July 1830
26 Oct. 1830-22 Apr. 1831
14 Jun. 1831-20 Nov. 1831
6 Dec.1831-16 Aug. 1832
